replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20,replica21,replica22,replica23,replica24,replica25
-35.43,-34.1046,-30.7231,-32.4163,-31.2834,-35.7962,-31.4481,-32.0211,-34.9901,-33.534,-29.7635,-33.5062,-36.7177,-35.6566,-31.5265,-33.6675,-36.2391,-33.1903,-32.9814,-32.0505,-34.5093,-33.7235,-31.7703,-32.3057,-35.8118
-30.0081,-30.4773,-30.8461,-30.2688,-29.9465,-29.9705,-30.0716,-29.8397,-28.2937,-29.8766,-28.861,-30.7007,-30.8092,-29.6935,-29.3138,-30.6728,-30.69,-28.8921,-30.566,-29.1989,-30.551,-28.252,-29.9054,-29.3097,-29.1803
-32.7067,-31.966,-33.4336,-31.1954,-33.612,-30.9391,-32.2823,-31.6904,-31.2329,-30.9545,-30.514,-31.456,-30.6393,-32.0373,-31.3421,-33.0823,-30.8473,-32.9364,-31.8686,-31.4326,-31.0917,-32.333,-30.3896,-30.7341,-31.1158
-24.0118,-24.0297,-24.0029,-24.1295,-21.8596,-22.6834,-23.477,-24.5488,-22.0966,-23.5254,-22.3552,-22.2089,-23.4984,-23.8163,-25.8304,-5.8949,-20.9099,-25.2523,-22.1139,-24.7116,-22.7756,-26.69,-22.6218,-14.2813,-21.5395
-23.868,-26.1168,-25.3417,-23.4617,-25.4772,-26.8015,-25.5263,-25.648,-25.4842,-24.2819,-26.0435,-25.0394,-23.3167,-25.3096,-25.9536,-25.6165,-24.2313,-26.0473,-14.2671,-25.3897,-25.3487,-22.9052,-22.0314,-26.3213,-26.145
-35.4255,-34.9313,-37.2702,-31.2371,-35.0101,-37.26,-36.5187,-34.3321,-36.2299,-38.3783,-33.424,-33.759,-31.9779,-37.022,-35.0823,-34.4339,-32.9981,-39.1027,-36.6637,-35.7525,-36.8374,-37.7593,-36.7395,-34.6272,-34.122
-49.9546,-41.4238,-50.2447,-49.9772,-41.4139,-40.5246,-44.4746,-45.9976,-43.1304,-47.7877,-38.7202,-47.2036,-49.1791,-48.9245,-50.9202,-44.5107,-42.0667,-42.5438,-39.7954,-41.1543,-49.8582,-49.8688,-47.1214,-42.745,-43.8206
-28.4066,-26.3822,-26.4503,-27.1288,-26.973,-26.3634,-26.5731,-26.1199,-26.4818,-26.1834,-25.9664,-25.672,-26.4313,-26.7893,-26.1241,-26.1162,-25.4007,-25.8865,-25.3872,-25.9495,-25.8585,-26.5323,-26.5006,-26.3527,-26.4832
-20.8827,-20.2635,-32.0509,-25.7649,-32.3201,-29.5927,-25.3473,-24.4339,-21.2618,-22.4018,-27.6575,-23.0974,-26.8588,-27.4324,-19.7334,-26.4532,-24.2961,-24.0515,-29.4536,-24.3992,-29.232,-29.3326,-29.3951,-24.5231,-27.6518
-25.3738,-25.8086,-25.4849,-27.395,-26.7673,-22.113,-26.423,-23.4332,-25.0105,-27.3445,-27.802,-25.7802,-25.355,-25.4971,-25.4373,-25.1808,-23.9825,-27.6866,-23.8401,-26.0411,-24.8143,-25.1414,-26.6352,-27.7564,-24.6836
-36.1412,-36.0002,-34.6726,-36.3001,-36.9535,-40.2123,-37.189,-36.3964,-37.2188,-37.4948,-37.0067,-34.9441,-35.7459,-36.3969,-36.148,-39.4901,-36.7656,-37.6485,-37.5932,-37.4803,-37.0495,-36.9431,-35.8205,-43.3612,-38.1671
-31.5364,-30.6758,-35.6896,-30.5819,-28.0792,-29.9955,-37.4469,-36.5999,-29.9824,-32.8505,-35.5509,-32.026,-31.872,-29.6303,-31.2876,-30.784,-34.0194,-32.4243,-30.9766,-35.3442,-35.5717,-35.1848,-30.2328,-32.8218,-35.8241
