replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
2678108761.89747,2540082376.49458,2722072203.48324,2547979935.78714,2458854645.41827,2574281204.71647,2514387383.72964,2609109937.78305,2831726147.89269,2784893544.31685,2559992408.80469,2873782872.19601,2567071252.57338,2768552735.34068,2765929540.62345,2913438470.06022,2446593216.88163,2714334463.01857,2612104112.26489,2946299350.90604
1935831277.47152,2048588639.10903,1836334364.48045,1658511411.08919,2069890989.54941,2133655878.45962,2132844307.47036,2091979996.35312,1927927932.04525,2564556901.71958,2042882275.20363,2240683480.78135,2143564613.97259,2313148728.63691,2053108576.23814,2149382241.61333,2030502264.22828,2227588131.79024,2155386805.77128,2171071213.1099
2912014311.55091,2804034586.97603,2657007816.09102,2661067968.33121,2515863257.1123,2805007865.01568,2866457410.58792,2727549998.32655,2750341409.11605,2995886347.92802,2533713976.69563,2300910925.29136,2970532917.61879,2613749801.06536,2703050278.93508,2784509277.98392,2904285570.61151,2438345840.99149,2796805430.10749,2687952314.91505
4094587341.14497,3976706921.73949,4257078331.0822,3833599691.00858,4068233491.57637,4237872568.29674,4148048916.3011,4118272006.43315,4231933114.06645,4237307789.51053,3875877064.31315,3999923209.5763,4392593477.13311,3960135577.32582,4232402347.90867,4136819275.09927,4304782485.84932,4130640852.12222,4192129162.36237,3883373679.86899
3172603301.37276,3058840375.72413,2650006401.26838,2864113532.29887,2807931344.41984,2890339836.74679,2608531415.75502,3090186123.89314,2883166073.58762,2935700217.37047,2860744283.32516,2869607516.14988,2681736770.56639,3098540086.38423,2770496391.58386,3044705366.26249,2944951432.68014,2684920877.43871,2739912838.07771,2974170979.27714
3255263060.58699,3370777519.81545,3845544323.98082,3380360909.97403,3175230952.65859,3167856649.31074,3260049572.32661,3140730269.59022,3521785777.39082,3345660822.27164,2839821688.20752,3370632517.02775,2976660790.87781,3472441201.0383,3421686309.60364,3190825107.04829,3263400717.08568,3169294047.66626,3249810498.95045,3027100524.46725
5950423321.45408,5996087637.55497,6346483150.9929,6198421121.66046,5912594273.61639,5951903048.82838,6145724964.89885,5854900587.42272,5905308375.37517,6165678007.65504,6083325395.85229,5979926059.96489,6083792102.96921,5998491489.60011,5894753740.73989,6104919270.0607,6079980959.95547,5818462799.55604,5483310402.22455,5770082925.44042
2002974326.85302,2071836563.6743,2029541648.4974,1752553461.89567,1755374536.65855,2074267783.62285,1983469160.18734,1936999902.31686,1661856810.09839,2093136617.71741,1807354610.92258,1631686136.96138,1856834998.59575,2140451648.99448,1942851850.04302,2175725242.8046,1928557180.36086,1804984852.333,2057251830.36464,2124037406.89885
2371495712.39014,2520171544.89562,2667513443.10564,2650456161.19964,2777543649.72896,2571080070.92328,2604574530.26469,2329826368.97817,2638744430.73545,2436433875.18177,2638565977.15055,2333493760.56762,2839756177.76457,2470830647.78259,2557010155.49613,2699449436.09032,2616187519.94027,2747295694.54062,2384195720.54138,2570463189.36996
3858922149.97429,3794817247.51446,3604858248.66327,3540116917.26785,3383049735.74293,3548955684.37705,3541814758.96194,3641336332.29438,3980300385.14449,3800465034.61959,3794239771.53786,3571334643.70129,3334678762.98939,3850720449.54681,3757680297.03362,3653526391.89805,3712171722.70411,3872957541.57359,3613304078.86175,3675548217.17429
5351755945.14438,5310602569.60898,5548111218.90569,5477523604.69685,5127395480.14818,5261091261.25461,5122047066.09403,5157194901.90438,5284213524.15314,5111928856.08201,5118579359.95939,5236839698.22563,5240784647.80731,5194862450.44451,5158053697.18237,4975654554.81753,5269160812.60377,5391166761.74768,5515951187.60808,5147288543.94477
10129252785.2997,9986173258.94501,9905296603.55688,10127955476.206,10097754663.8257,9901984207.07687,10091354919.1322,9992660078.92357,10077644561.4488,10231959175.5225,9868236353.46487,10282045795.8572,10420793284.7636,10290575751.5051,10181466107.772,10474386010.9844,10395300262.7791,9955028944.47987,10070615114.9226,10212244100.7437
7187293198.42504,6906924819.51054,6896840209.88215,7058553639.85396,7062462953.86863,6969599812.16976,7059485292.44935,7232269126.31519,6923031501.56056,7020096983.28715,7094117276.72904,6646950443.71337,6963120707.14845,6912600279.8806,7085492578.54434,7140267575.78232,7085538971.32734,6971235452.87731,7090560364.74279,7079684263.95522
4864857651.82177,5102606944.53216,5021215113.58396,5307150739.79226,5209873707.62158,5132024533.0312,4917650092.38588,5246131070.82197,5013166259.22563,4989446468.88995,5256519533.67193,5136711977.82028,4946338810.67906,5377182829.9361,4831662658.77866,4961290534.30127,5095806740.60168,4889675707.09673,5042893160.21031,5203316474.07933
2256927432.22507,2169607918.31141,2364838166.50373,2131852046.53509,2186860583.98675,2277129270.01618,2099226670.2731,2320800267.51012,2057937712.87113,1876772887.11223,2201980602.43999,1947652379.10103,1898169108.27817,2041193407.39527,1964105986.87932,2052086643.31584,1976856679.6939,1837069032.75988,2010212687.62684,1913361714.8999
4983832359.25573,4846766731.08938,5212382819.03018,5131735924.3277,5079661407.48198,4995183974.71271,5181633485.76858,4851711099.61745,5295331743.39286,4989745560.12901,4934060035.93851,5159781323.99526,5090313403.68779,5190247293.60246,5077534559.40518,5263530655.89788,5220586519.20988,4962035600.0668,5323815191.4913,5040057649.83505
9977449810.16251,10053127218.0035,9815329211.79063,10067178992.2375,9818118796.8846,9891540083.44266,9854035818.65276,10161939752.2184,10168299858.3599,10069523665.497,9882730389.12473,10162116308.2832,9841868183.87695,10063007026.1226,10108073308.0742,9761628866.76061,9810531690.68549,9998999824.45386,9846672468.73949,9948496584.86604
6519357319.54224,6642623593.86447,6172254427.52643,6626436434.52269,6634649622.2456,6471815761.03635,6162121226.8443,6256486870.80517,6087962219.87924,6318326379.54665,6030521332.37459,6514794573.25994,6261665161.83559,6227459224.54554,6404639582.49337,6264854793.01088,6585589265.11,6287620992.18982,6414949371.95737,6394405192.58337
2711628309.42252,2866471116.77267,2645991581.26764,2641346050.01433,2687814652.50094,2806874013.05704,2677164218.65754,2511826972.51443,2859837804.5626,2746313709.6032,2518322077.2745,2622321390.76915,2678456185.17908,2653453562.12304,2611901391.12598,2595427956.76444,2590578093.46949,2858677301.64453,2717603723.37473,2622999831.17907
2208815079.56723,2087398827.71429,2426256161.40919,2456420345.77651,2007053957.62669,2397994468.62751,2565005151.85278,2187848082.21478,2203608175.94828,2141411897.80376,2081281819.5946,2502924991.73187,2163116407.6317,2486046932.27647,2392667901.22439,2407403411.16382,2389996029.47346,2180532284.70313,2444828466.43923,2264813248.89079
