replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
5752074394.80372,6236372931.16086,5704414914.60091,6962610264.77918,7153616174.25914,6729227426.90311,6853044165.828,6279848170.80117,7203910943.29455,7488306677.81043,6939504096.91132,5844129217.47628,6731553852.45054,6166588092.13665,6061154364.54382,6184801495.48378,6749146701.40102,6692515009.60855,5841083172.74312,5858590716.59422
5527595481.52305,5427325152.56872,5361635724.28262,5004742217.55824,5983844529.68632,5009807294.67409,5699403796.42051,4071698794.67782,5650625827.00951,5427794771.6896,5108627035.81345,6144794662.09248,5623290157.46109,5084261291.20002,5249027340.12882,5149267754.72451,5642201914.27787,5468622477.59591,5212931796.53234,4887862491.43494
11800177430.9299,11163460456.7477,11387180924.8942,11858813226.8578,11703131124.9725,11089860974.8129,11275274530.3119,11818516127.1559,11408216895.7812,11304609508.7938,11686413060.6822,11381751202.3234,11838454760.139,11157948629.4501,11449551850.1564,11452174644.3502,11542373199.5695,11537801373.1555,11179898235.4408,11869370421.4102
9721989936.83006,9047512540.11078,9991443754.75725,8858264514.93779,9133864427.59299,9394635250.76287,10052646542.6612,10448060385.849,9818686220.16448,9147429751.27418,9325074758.4094,9676612580.07262,8722694888.09301,9506589399.90473,10041799844.3443,9536789526.15752,8662895804.32595,9855920785.95723,9043866283.7508,9024964635.18568
4561333122.37482,3767659602.38665,3421822450.9425,3623925134.7799,3937068435.80085,4063576404.96313,3709243053.29922,3878468347.727,3427958666.02895,3317746402.03038,3855163334.34132,3910792205.72284,3799806976.94001,3183841369.73977,4142661848.60773,3726693579.83248,4156056675.25674,3892954222.00205,4094687269.59427,3697019820.57111
5404480357.41405,4867123463.38023,5587091117.49786,5771915266.92355,5842610218.30388,5643022724.85042,5701584761.38128,5800699320.98522,6004988977.6238,5085361813.08251,5349029510.9896,5791350286.34062,5705780714.80074,6067485313.32858,6027844068.5006,5839829416.0126,6279579287.07363,5181691835.92968,5557892756.85462,5679492744.42379
6496254636.20321,6202715870.54572,5782153165.53084,5933187936.80337,6652834652.47445,6217877477.48077,6512027805.43889,5989317091.23952,5647314128.34282,5243957424.00006,5732743495.10231,6591131607.25027,6224982672.77254,5858425457.21955,6170514234.95996,6301256034.27675,6567861043.5088,5944541732.06469,5633983881.03699,6048883627.74705
5605822902.17025,6216937326.56376,6868700516.68079,5226600909.93078,5412174570.37751,5729336508.1286,6074406240.68096,5427852190.60785,5412564119.8232,5808510507.51463,5050925130.71714,7069368378.80483,6381820160.84407,6611149922.28456,6192281125.50462,5745355078.51525,5481955967.40154,6458559948.5288,5508026871.91542,6226146344.7509
6036735894.1524,5972771076.9598,5640531378.11423,6283995879.13329,6258326895.67778,6350749043.71906,6370289841.983,5866378425.59329,5891070795.45959,5704963244.60398,5990994619.79061,5293930207.73639,6231653074.40066,5400596296.16298,5686618851.86063,5465277582.71378,5886166052.90995,6282928326.68941,6726938754.35938,5713973889.07403
9116405453.81936,9673112930.44242,9808931607.36066,9470956087.12894,9157717134.01082,8965723542.46909,8867552217.79281,8645969219.85358,9283376875.45226,9977768687.53635,10192829703.2568,9217235874.11737,8960481558.20532,9230519849.9038,9290635513.82306,9672063977.04967,9486792980.38272,9622867954.45049,9205751601.14346,9774715492.12811
6582068002.86081,6024092029.65357,6370383970.00503,6944180629.03343,5717935616.52849,5760645706.73549,6029413937.77395,5830524827.01191,5545083100.18091,5633478730.12984,6106053605.25618,6324011880.04294,6535061404.97659,6282588719.94629,5882074471.60097,6696232961.87554,5941148393.72392,5593206305.46747,5982627289.20712,6338129433.35616
5149991963.25019,4602591283.1764,4764155775.75,4842111220.0903,4510462565.46001,4456365752.69202,4942921791.08458,4247917457.85009,5333915585.99039,5655136492.82051,4092002826.28537,5144153358.07973,5142799346.01467,4357000430.05554,4852528467.63029,5375698330.91879,4453954090.25116,4341586133.71737,4176133623.87427,3982741455.63795
3624610094.67576,3599004094.77392,4360707912.15726,3582277551.44853,3239657768.56332,3961093043.35161,4620862985.01123,3738784443.88118,4007393104.76574,3861749559.66946,3813036301.01596,3702299187.41154,3873990388.1701,4617197767.19454,3755827045.96945,3959591091.79238,4542585445.33302,4443398993.60792,3936606258.06313,3681102785.41206
5757521202.81311,4452739610.91339,5952355581.09782,5270145247.6774,4714426760.18122,5239042931.25317,5492056210.17529,5383121428.44862,5245764561.77586,5281292522.84124,5417252950.70848,6033853208.48877,5181483050.85211,6242520176.99498,4939628496.72927,5711808416.42344,6089491472.39314,5540485599.06222,5447311847.21601,5385091166.13109
3980779758.2724,3947110754.7284,3596422969.63393,4451532555.30182,4071649513.47778,4441230179.67981,3634028703.45155,4022490731.37059,4269173959.7259,4133979764.62871,4086296067.86952,4334764518.46463,3655352146.29699,4122569974.13731,3575174049.47272,3698858861.62586,3798117918.79292,4213567998.76062,3612238251.50736,3982053702.2871
5449325393.88164,5426796137.64829,5487399737.5442,5568710497.3393,5806806581.61216,6034714438.96954,6152780950.59229,6085266982.88211,6432674927.38286,5982090610.72731,5451181995.28214,6217022643.37071,5584488826.63048,6606136244.32388,5790810524.4818,5999342921.2859,5398526973.21247,4969253053.08156,5429131682.95757,5577618469.31496
12607120348.9776,11693395814.5822,12318100332.6809,11092302937.9403,12503268237.3496,13052035253.6714,12728280152.3546,12391812594.5713,12113571688.7124,11921604653.5125,12865334239.3779,12204915812.075,12154528726.9444,11937470771.7803,11566782254.9703,13118824418.7909,12658943532.3227,12492097625.8928,11805798802.4876,11965570331.5438
9642579387.50609,9528293652.80823,9317336223.09412,7980256137.08739,9414537317.28809,9403047457.42575,9856301146.62875,9512948988.06295,9959138509.93335,9053287455.03119,9444529852.20206,9337805596.70752,10007048145.7512,8797759380.48388,9839776316.29605,9189963770.79116,9077147741.44456,8946224499.77141,8978363921.39241,9252462731.97787
2678354488.82131,3431597634.09174,2490079766.27083,2805340802.88184,2677590494.02461,2779277670.47056,2987510282.77084,2190063796.97971,2386160597.95557,2490662042.05633,2275339081.25828,3110273895.27273,2940712794.17718,1991176595.78132,2958349228.08735,2780863284.34571,2706598711.27048,2629450811.07872,2862246062.62861,2509744515.9325
2243240155.52646,3512045409.95842,3197903124.33891,3197054134.38315,3010793319.78809,3206866271.57419,3056028104.35712,3135896280.8728,2824610495.51747,2853799194.88016,2876522251.35498,3117407264.9621,2784555200.94025,3086483864.12763,3183672155.59877,2523142707.83737,3523831906.79091,3636346069.19652,4056089461.14244,3365382052.20481
8120388061.44106,7954523962.95376,7756617668.03975,8412089351.02445,7713220382.76155,7711634900.04397,7982184995.93344,8003955189.04124,7582750570.86954,7542571727.96829,7389677460.18808,8032521013.41582,8277771189.03364,8410326452.59089,7561640101.96315,7805778741.40712,7685723955.20372,7019741202.85996,7640356415.94984,8237700540.79988
4350493956.54136,4137773825.07213,4077707073.20204,4108663349.68585,4099370079.71094,4869073249.94441,4079526540.97617,3825489442.50937,4221391019.79245,4687821812.87844,3564204361.11018,3849612128.06045,3804709225.57766,4721170179.54965,4372026059.62815,3952254805.08743,4396691715.38099,4152110464.62301,4490474851.20704,4076516221.55704
8683235678.02648,8708853541.52573,9295051648.78683,9220669953.00347,9310089430.06849,8751576122.06056,8359525534.61912,8911642626.48644,9809864901.56983,9597081097.44775,8762973630.47943,7823126957.82059,8887069038.87807,8694042077.66722,9105933032.77863,9515150092.36358,8784622280.58785,9293417670.6161,9013369278.84048,8851490087.70414
11272870353.9957,10345965455.349,11830980707.3228,10988045797.939,11617154048.0853,10965938147.7808,11272482254.0328,11800371310.0477,10399452090.6543,11858646237.0343,11519335405.446,10008871306.1121,9976781656.63524,11667350939.7095,11067429542.1048,11375138415.0394,10641499118.4795,11586681856.774,11356282291.9557,11526538646.1035
7849861242.60287,8386940442.88802,8048382234.11816,8028038442.95432,8941830066.54226,8326480716.51442,8589198802.84159,7530821541.00683,8270471458.68012,7496715205.69878,8247433453.99413,8261146198.48441,7054045353.15113,8040694176.82803,7972472438.96472,8646002177.97436,7799936487.72319,7895241331.68773,7745984536.68171,9254172813.3986
10560111727.2098,10286311409.8301,10897086774.3145,10047791155.7526,10132655547.2928,10295974884.0703,9679327657.88414,10075271953.0692,10204245013.4932,9946333236.09958,10283503410.2778,10740238267.0726,9866227337.63557,9577778079.60701,9709717014.48445,11037058293.1266,10821644257.1345,10160551666.6877,10330689071.6676,9839019329.90884
3329117200.85489,4208053031.53415,4441921194.26527,4096368292.88572,3949379289.96542,3632783149.43938,2895014163.83279,3826678147.85075,3660912540.04014,3865987534.29067,3656909495.69897,4306244904.3646,4111949383.89865,3776331661.59614,4833746699.16675,4211237868.95712,4182438229.36383,3868786690.76953,3268155704.4562,3961374535.40342
7991630233.40289,8233595467.57342,8172253376.13819,8137458179.56535,8217738046.36384,7812531970.91916,7330924385.35859,8055563966.49438,8727903635.25731,7166518784.14216,7141032216.47453,7909533531.90128,7843841683.67457,8105534525.54872,7786245387.07666,8216290040.1207,8949918151.83809,7705177836.25792,7556849972.55088,8089562506.61424
8689469346.10877,8504781555.80485,9600629483.28843,8655247075.42274,9059564610.66328,7889468105.31678,8904181491.23564,9001638922.96292,8773222851.91398,9060409774.79245,8600221283.66897,8748379980.24321,9109665034.68048,8829558784.75376,9047598631.93399,8783733489.45604,8990393879.99926,8187274704.32454,8653217965.73198,9215911359.08849
7287522001.92381,7624041804.34934,7751395741.53204,8181416753.74581,8539926855.24165,7881362855.18405,8314062504.78025,7646783036.48372,8144042872.61207,7088281796.52417,7644850561.71865,7393345215.27223,6994242352.1285,7529213113.27901,8024991338.67517,7660692162.055,7924612308.426,8042636521.04658,8030961570.88535,7970897989.25148
7488787235.79938,7486950275.25189,7534902945.76666,7660731478.86441,7433208108.73171,8108442907.2631,7829151915.84443,7861629856.40028,7465014369.22736,7696727462.31079,8874848322.16434,7936249038.4747,7608979308.96268,8051902096.76461,7561401169.02982,6874022658.4248,7142358889.98808,8728796485.56178,7521423482.45328,8010670409.60211
3453240217.5862,3955603728.25835,4263859146.28805,4081719454.85207,4074486979.59608,4303776306.50197,4071453825.1348,3586296299.28403,2790103899.81485,4088044442.27807,3535863321.09142,2648081436.49579,3388886094.12426,3348506385.99978,3316728282.39084,3250206246.97154,3830699134.72007,3893488476.65967,3377845125.39581,3318484748.7198
10215391463.2743,10224260790.1069,10490818192.3808,10206821950.7737,10034834003.7063,10656333623.1305,10086743772.0816,10467007655.7856,10325396317.0337,10230059563.3607,10356165050.778,9812415956.33085,9676718919.70881,10295596277.8976,9919115361.92723,10703506446.6539,10752234351.1096,10793509997.0163,10727765272.0229,10074419446.4409
4602152311.71287,3468909056.05841,3952024871.69238,4633179880.20928,3875043975.57576,4048317799.36372,4281295325.58215,3963918991.77929,4792294317.62502,4250718887.12581,3939372674.25403,4487513774.60721,4057237542.53741,3978053603.31353,3924737564.70761,4116134133.48827,4640023289.7566,4240490701.6916,4441485181.33245,4109726145.88385
